indicatorId,geoUnit,year,type,subtype,value
FOSGP.5T8.F600,BGD,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGD,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BGD,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGD,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BGR,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGR,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BGR,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGR,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BGR,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGR,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BGR,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGR,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BGR,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGR,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BGR,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BGR,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BHR,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BHR,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BHR,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BHR,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BHR,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BHR,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BHR,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BHR,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BHR,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BHR,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BHR,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BHR,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BIH,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BIH,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BIH,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BIH,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BIH,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BIH,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BIH,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BIH,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BIH,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BIH,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BIH,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BIH,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BLR,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BLR,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BLR,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BLR,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BLR,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BLR,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BLR,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BLR,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BLR,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BLR,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BLR,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BLR,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BLZ,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BLZ,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BLZ,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BLZ,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BMU,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BMU,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BMU,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BMU,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BMU,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BMU,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BRA,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRA,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BRA,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRA,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BRA,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRA,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BRA,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRA,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BRA,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRA,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BRA,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRA,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,BRN,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRN,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BRN,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRN,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BRN,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRN,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BRN,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BRN,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,BWA,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,BWA,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CAN,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,CAN,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CAN,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,CAN,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CAN,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,CAN,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CAN,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,CAN,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CAN,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,CAN,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHE,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHE,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHE,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHE,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHE,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHE,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHE,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHE,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHE,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHE,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHE,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHE,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHL,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHL,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHL,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHL,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHL,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHL,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHL,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHL,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHL,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHL,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CHL,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,CHL,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CMR,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,CMR,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CMR,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,CMR,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,COD,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,COD,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,COG,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,COG,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,COL,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,COL,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,COL,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,COL,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,COL,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,COL,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,COL,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,COL,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,COL,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,COL,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,COL,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,COL,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CPV,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,CPV,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CPV,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,CPV,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CPV,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,CPV,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CRI,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,CRI,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CRI,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,CRI,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CRI,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,CRI,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CRI,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,CRI,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CRI,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,CRI,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CRI,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,CRI,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CUB,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,CUB,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CUB,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,CUB,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CUB,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,CUB,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,CYP,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,CYP,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CYP,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,CYP,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CYP,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,CYP,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CYP,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,CYP,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CYP,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,CYP,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CYP,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,CYP,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CZE,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,CZE,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CZE,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,CZE,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CZE,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,CZE,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CZE,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,CZE,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CZE,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,CZE,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,CZE,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,CZE,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DEU,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,DEU,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DEU,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,DEU,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DEU,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,DEU,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DEU,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,DEU,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DEU,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,DEU,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DEU,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,DEU,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DNK,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,DNK,2015,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DNK,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,DNK,2016,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DNK,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,DNK,2017,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DNK,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,DNK,2018,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DNK,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,DNK,2019,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DNK,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,DNK,2020,Source,Data sources,UNESCO OECD Eurostat (UOE) survey
FOSGP.5T8.F600,DOM,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,DOM,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,DOM,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,DOM,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,DOM,2017,Data Status,Data reporting,NA
FOSGP.5T8.F600,DOM,2017,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,DOM,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,DOM,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,DZA,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,DZA,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,DZA,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,DZA,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,DZA,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,DZA,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,DZA,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,DZA,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,DZA,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,DZA,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ECU,2015,Data Status,Data reporting,NA
FOSGP.5T8.F600,ECU,2015,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ECU,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,ECU,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ECU,2018,Data Status,Data reporting,NA
FOSGP.5T8.F600,ECU,2018,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ECU,2019,Data Status,Data reporting,NA
FOSGP.5T8.F600,ECU,2019,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ECU,2020,Data Status,Data reporting,NA
FOSGP.5T8.F600,ECU,2020,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,EGY,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,EGY,2016,Source,Data sources,UIS Education Survey
FOSGP.5T8.F600,ERI,2016,Data Status,Data reporting,NA
FOSGP.5T8.F600,ERI,2016,Source,Data sources,UIS Education Survey
